2.01E-06,0,0.000129279,0.2,0,1,0.51372549,0.51
0,0.063492063,0,0.3,0.06,0.09,0.050980392,0.05
3.55E-06,0.047619048,0.002686624,0.2,0,1,1,1
4.07E-06,0.047619048,0.003379084,0.2,0,1,1,1
3.68E-06,0.047619048,0.001862657,0.2,0,1,0.952941176,0.95
5.73E-07,0.650793651,0,0.2,0,1,0.023529412,0.3
4.46E-07,0.095238095,6.91E-05,0.2,0,1,0.831372549,0.92
1.64E-05,0.142857143,0,0.2,0,1,1,1
2.58E-06,0.73015873,0.000445046,0.2,0,1,0.435294118,0.44
0.000969095,0.047619048,0,0.4,0,1,0.992156863,0.99
3.07E-06,0.047619048,0.000213979,0.2,0,1,1,1
2.02E-06,0,0.000129279,0.2,0,1,0.996078431,1
0,0.158730159,0,0.2,1,0.5,0.007843137,0.01
3.72E-06,0.047619048,0.000696917,0.2,0,1,1,1
3.72E-06,0.047619048,0.012195312,0.2,0,1,1,1
0,0.063492063,0,0.3,0.06,0.01,0.003921569,0
3.17E-06,0.047619048,0.00173635,0.2,0,1,1,1
0,0.063492063,0,0.3,0.1,0.05,0.031372549,0.03
3.71E-06,0.047619048,0.000209521,0.2,0,1,1,1
4.03E-06,0.047619048,0.007597737,0.2,0,1,1,1
0,0.047619048,0,0.1,0.14,0.46,0.235294118,0.24
7.32E-07,0.063492063,3.19E-05,0.2,0,1,1,1
4.89E-06,0.047619048,0.008260478,0.2,0,1,1,1
1.88E-06,0,0.001801732,0.2,0,1,0.011764706,0.27
0,0.238095238,0,0.1,0,1,0.02745098,0.03
0.000868117,0.047619048,0.006177155,0.2,0,1,1,1
1.67E-06,0.063492063,0.000108475,0.2,0,1,0.945098039,0.99
0,0.158730159,0,0.2,1,0.5,0.22745098,0.19
0,0.984126984,0,0.1,0.06,0.09,0.078431373,0.08
1.91E-07,0.015873016,0,0.2,0,1,0.058823529,1
1.64E-05,0.142857143,0,0.2,0,1,0.129411765,0.13
2.37E-05,0.079365079,0.000247413,0.2,0,1,0.388235294,0.77
4.07E-06,0,0.687439958,0.2,0,1,0.098039216,0.13
1.64E-05,0.142857143,0,0.2,0,1,1,1
8.28E-07,0.063492063,3.79E-05,0.2,0,1,1,1
1.93E-06,0,0.000129279,0.2,0,1,0.352941176,0.35
6.69E-07,0.174603175,3.12E-05,0.2,0,1,0.980392157,0.98
0,0.682539683,0,0.3,1,0,0.003921569,0
0.000868117,0.047619048,0.006177155,0.2,0,1,1,1
4.74E-06,0.047619048,0.001147908,0.2,0,1,1,1
0,0,1.11E-05,0.2,0,1,0.184313725,0.18
3.71E-06,0.047619048,0.007553902,0.2,0,1,1,1
3.49E-06,0.047619048,0.000358117,0.2,0,1,1,1
0,0.063492063,0,0.1,0.07,0.01,0.007843137,0.02
0,0.063492063,0,0.1,0.07,0.05,0.047058824,0.05
2.61E-06,0.73015873,0.000445046,0.2,0,1,0.070588235,0.07
1.96E-06,0,0.000129279,0.2,0,1,0.811764706,0.81
0,0.063492063,0,0.1,0.06,0.04,0.035294118,0.04
3.66E-06,0.047619048,0.000193175,0.2,0,1,1,1
0,0.063492063,0,0.3,0.06,0.13,0.078431373,0.08
